name,en_name,category,origin,abv,description,image_url
빅 드랍 밀크 스타우트,Big Drop Galactic Milk Stout,Beer,영국,0.5%,"Alcohol-free Stout. Forget the notion this is a beer style that has had its day. Instead, think of it as honeycomb covered in chocolate, because that’s exactly what it tastes like: rich, unctuous and an absolutely decadent treat of a beer.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/big_drop_galactic_milk_stout.png
가펠 패스브라우저 사과 나투르트륍,Gaffels fass brause apfel naturtrub,Beer,독일,0%,천연 사과 스파클링 쥬스에 시트라홉을 첨가하여 홉사이더 느낌의 무알콜 음료.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/gaffel_frassbrause.png
에스트렐라 갈리시아 오리지널,Estrella Galicia,Beer,스페인,0%,"에스트렐라 갈리시아 0.0은 미네랄 밸런스가 좋은 스페인 코루냐 지방의 깨끗한 물, 신선함과 청량감을 위한 필센 맥아와 옥수수, 자연방부제와 항산화 역할을 하는 프리미엄 품질의 홉으로 만들어져 높은 수준의 완성도와 풍미를 자랑합니다.
밝은 황금색의 라거로 구운 몰트 특유의 향이 나며 상쾌한 청량감과 함께 느낄 수 있는 깔끔한 첫 맛과 씁쓸한 끝맛의 조화가 특징이다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/estrella_galicia.png
에스트렐라 갈리시아 토스타다,Estrella Galicia Tostada,Beer,스페인,0%,"에스트렐라 갈리시아 0.0은 미네랄 밸런스가 좋은 스페인 코루냐 지방의 깨끗한 물, 신선함과 청량감을 위한 필센 맥아와 옥수수, 자연방부제와 항산화 역할을 하는 프리미엄 품질의 홉으로 만들어져 높은 수준의 완성도와 풍미를 자랑합니다.
어두운 오렌지색의 엠버 라거로 세가지 홉의 조합에서 느낄 수 있는 향긋한 꽃향기와 상큼한 오렌지향이 돋보이며 부드러운 단맛과 기분좋은 씁쓸한 맛이 매력적이다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/estrella_galicia_tostada.png
구미호 릴렉스 비어,Kumiho Relax Beer,Beer,한국,4.2%,가벼운 느낌의 아메리칸 위트 에일 베이스에 기분 좋은 레몬 그라스 향과 깔끔한 피니쉬로 누구나 쉽게 입문할 수 있는 데일리 비어,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/kumiho_relax_beer.png
슈퍼 아이피에이,Super IPA,Beer,한국,6.4%,"기존의 IPA와는 달리 쓰지 않고 부드러워 쭉쭉 마실 수 있는 새로운 스타일의 IPA

부드럽지만 단단한 마우스필을 뒷받침하는 몰트의 스윗함에 잘 익은 복숭아의 달콤함, 우리에게 익숙한 감귤향의 시트러스함과 크리미한 코코넛의 달달함이 잘 어우러지는 뉴잉글랜드 인디아 페일 에일입니다.
잘 익은 과육의 짙은 풍미와 포근한 맥아의 질감이 기분 좋은 맥주입니다.

샐러드, 치킨, 각종 튀김, 구운 고기, 치즈류 또는 매운 음식과 함께 드시면 잘 어울립니다.

수제 맥주의 신선함과 고유의 향과 맛을 위해 필터링을 하지 않았습니다. 캔 내의 침전물은 맥주를 발효시키는 효모 또는 맥주의 원료이므로 침전물까지 잘 흔들어 드시면 더욱 풍부한 맛과 향을 느끼실 수 있으며, 흔들지 않고 드시면 더 깔끔한 맥주의 맛을 즐기실 수 있습니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/craftbros_super_ipa.png
흑백 임페리얼 스타우트,흑백 임페리얼 스타우트,Beer,한국,10%,"플레이그라운드 브루어리의 100번째 양조를 기념해 탄생했던 흑백 임페리얼 스타우트가 2018년 겨울 다시 돌아왔습니다. 초콜릿 맥아의 묵직하고 진한 느낌이 입에 착 감기고, 살포시 퍼지는 건포도와 자두향이 기분 좋은 달콤함을 선사하는 흑백 임페리얼 스타우트.
2018년에는 웨일즈빈의 스페셜티 커피도 더해 은은한 커피향까지 느낄 수 있습니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/hukbaek_imperial_stout.png
콩도 시나몬롤 임페리얼 스타우트,KONG-DO CINNAMON ROLL Barrel Aged Imperial Stout,Beer,한국,12%,"콩도 베럴에이지드 임페리얼 스타우트 시리즈'는 고릴라브루잉의 자부심인 임페리얼 스타우트를 흥미로운 재료와 함께 다양한 성격을 지닌 베럴에 숙성하여 출시하는 프로젝트입니다.

콩도 시나몬롤 버전은

하나, 짙은 초콜릿과 카카오의 로스팅 몰트 풍미를 바탕으로
둘, 버번 위스키의 배럴 숙성을 통한 바닐라와 우드함
셋, 시나몬의 풍미가 더해진 진한 커피향을 띄는 흑맥주입니다.

무섭게 솔드아웃되었던 <콩도 바나나보트/감귤코코아>의 아쉬움은 잠시 뒤로하고, 이제는 <콩도 시나몬롤>입니다.
겨울하면 떠오르는 계피와 임페리얼 스타우트의 환상의 발란스! 기대해주세요",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/kong_island.png
우리쌀 라거,Woori Ssal Lager,Beer,한국,5%,국내산 쌀로 은은한 단맛을 낸 트레비어의 한국식 라거,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/woori_ssal_lager.png
처용 IPL,CheoYong I.P.L,Beer,한국,5%,에일처럼 향긋하면서도 탄산의 청량함과 깔끔함이 매력적인 라거,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/cheoyong_ipl.png
T-둔켈,T-Dunkel,Beer,한국,4.5%,검붉은 빛깔과 고소한 견과류의 맛이 매력적인 독일 복부식 라거,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/t_dunkel.png
T-바이젠,T-Weizen,Beer,한국,4.5%,"독일남부 스타일의 밀맥주로, 밀맥아의 부드러움과 효모의 풍성한 향이 좋습니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/t_weizen.png
마오우 5 스타,Mahou 5 Star,Beer,스페인,5.5%,"스페인에서 가장 많이 팔리는 프리미엄 라거 맥주입니다. 최고의 맥아와 홉, 효모들의 특징으로 우수한 균형감과 깔끔한 맛을 지닌 특징이 있습니ㅏㄷ.
주 향은 부드러운 바나나와 신선한 사과 향으로 건조 효모의 향이 느껴지며 직접 마실 때는 풍미가 깊은 홉이 느껴집니다. 입안에서는 힘 있고 균형 잡힌 맛으로 중간 정도의 쓴맛과 약간의 신맛으로 균형이 잘 잡혀 있습니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/mahou_5_star.png
스톤 탠저린 익스프레스,Stone Tangerine express,Beer,미국,6.7%,탠저린과 파인애플 과즙을 투입하여 화려한 주시함과 시트러스 풍미는 열대지방 휴양지로 당신을 초대한다.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/stone_tangerine_express.png
꿀꺽,Ggul Ggeok,Beer,한국,4.6%,"""꿀꺽""은 크래프트 라거로 맥주의 많은 매력들 중 다가가기 쉽고 마시기 편한 장점을 가진 맥주입니다. 여기에 '홉'의 개성을 부드럽게 살려주고자 노력했습니다.
편안하게 소비자에게 다가가며, 메인 스트림과 다른 크래프트 맥주의 매력을 보여주고 싶었습니다.
크래프트 맥주를 좋아하는 사람들, 처음 접하게 될 사람들 간의 경계를 허물고 모두 즐길 수 있는 ""꿀꺽""이 되길 바랍니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/ggul_ggeok.png
스밈,Smimm,Beer,한국,5.5%,"'스밈'은 크래프트 에일로 호밀과 카라멜 몰트를 절제하여 사용해 뽑아낸 몰트 캐릭터와 은은한 효모 에스테르의 바탕 위에 팔코너스 플라이트, 심코 홉을 사용하여 레몬, 자몽의 시트러스한 느낌과 꽃향을 가진 홉 캐릭터가 주를 이루는 맥주입니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/smimm.png
코코넛 레밍턴,Coconu Lamington,Beer,한국,10%,"코코넛 래밍턴'은 Pastry Stout 스타일의 맥주로 단맛과 진득한 질감, 여러 부재료의 캐릭터를 최대한 뽑아내 마치 디저트를 마시는 듯한 경험을 선사합니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/coconut_lamington.png
마오우 클래시카,Mahou Classic,Beer,스페인,4.8%,"100여 년 전에 만들어진 맥주로 조리법, 맛, 품질을 그대로 유지하고 있습니다. 향이 풍부하고 알코올과 산도의 균형이 잘 잡힌 약간의 과일 향이 나는 상쾌한 맥주입니다.
현재도 코르크 사용을 유지하고 있어 1890년의 오리지널 마오우를 맛볼 수 있습니다. 밝은 황금색으로 부드러운 바디감과 풍미, 균형 잡힌 맛으로 유명하며 꽃, 홉의 색조와 함께 가벼운 과일 향이 납니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
마오우 5 스타 세션 아이피에이,Mahou 5 Star Session IPA,Beer,스페인,4.5%,"스페인 마오우와 미국 마스터 브루어스의 노하우가 결합되어 완성되었습니다. 아로마와 쓴맛 중에서 균형 잡힌 방식으로 홉을 사용하여 아로마와 향을 유지하지만 알코올은 적고 상쾌한 특성을 가졌습니다.
Stone Fruit, 건포도, 감귤류 및 소나무 향이 조화있게 결합된 강렬한 향이 뛰어난 특징입니다. 귀리를 첨가하여 바디감을 제공하고 특별한 부드러운 맛을 느낄 수 있습니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
리겔 헤페바이스,Riegele Hefe weiss,Beer,독일,5%,"독일 남부의 대표적인 맥주 스타일인 밀맥주로서 효모를 필터링하지 않아 밀맥주 고유의 바나나향, 풍선껌과 같은 은은한 아로마와 부드러운 거품이 조화를 이루며 쓴맛이 전혀없는 상큼한 스타일의 밀맥주로서 누구나 편하게 즐길 수 있습니다",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
녹투스 100,Noctus 100,Beer,독일,10%,세계 비어 소플리에 챔피언이자 리겔 브루어리의 사장인 세바스티앙 프릴러 리겔의 레서피로 탄생한 녹투스 100은 향기로운 커피와 초콜렛의 풍미를 느낄 수 있는 임페리얼 스타우트의 정석,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/noctus100.png
슈렝케를라 메르첸,Schlenkerla Marzen,Beer,독일,5.1%,도시 전체가 유네스코 문화 유산으로 지정된 독일의 베니스 밤베르크의 전통 훈연맥주 슈렝케를라는 너도밤나무 연기로 맥아를 건조시켜 은은한 훈연향을 가진 최고급 맥아와 1387년부터 이어져온 전통적인 양조방식을 이용하여 만들어진 프리미엄 독일맥주입니다.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
소넨호펜,Gaffel Sonnenhofpen,Beer,독일,4.9%,태양의 홉'이란 이름을 가진 소넨호펜은 시트라홉만을 사용하여 쓰지 않으면서도 향긋한 샴페인 같은 느낌과 귀여운 아기사슴을 레이블로 사용하여 '밤비맥주'라고 불리우며 특히 여성들에게 인기가 많은 페일에일,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
가펠쾰쉬,Gaffel kolsch,Beer,독일,4.8%,"독일 쾰른에서 생산된 밝은 황금빛의 맥주로 에일효모를 사용하지만 라거와 같이 낮은 온도에서 오랜기간 숙성하여 벌꿀향과 꽃향기, 부드러운 목넘김과 상쾌함을 동시에 느낄 수 있는 쾰른 판매 1위 맥주",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/gaffel_kolsch.png
가펠레몬,Gaffel Lemon,Beer,독일,2.4%,"가펠쾰쉬와 천연레몬쥬스를 5:5로 섞어 맥주의 짜릿함과 레몬의 상큼함을 동시에 느낄 수 있는 2.4%의 저알콜 레몬맥주.
산뜻한 과일맥주로 음료처럼 즈릭거나 고도수의 술과 믹스해도 좋습니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/gaffel_lemon.png
마!,MA!,Beer,한국,5%,"부드러우면서도 깔끔한 피니시를 가진 정통 독일식 라거로 상쾌하고 청량해 데일리 맥주로 최고!
누구나 즐겨 마시기 좋은 부산 프라이드 브루어리의 대표 수제 맥주.
꿀향과 같은 매력적인 몰트 아로마와 꽃향, 과일향의 환상적인 밸런스",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/busan_ma.png
골드 오-피치,Gold O-Peach,Beer,한국,4.7%,"오~ 달콤한 골드빛 오렌지와 복숭아향이 입 안 가득 부드럽게 퍼지내네 맥주 
정통 독일식 밀맥주를 베이스로 독창적인 향과 플레버를 입힌 밀맥주!
착향이 아닌 오렌지와 복숭아의 천연향을 가득 담아 목넘김이 좋은 맥주.
최상급 바이젠 전용 액상 효모를 사용하여 발효 과정에서 생성된 부드럽고 달콤한 아로마와 플레버가 매력적",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/gold_o_peach.png
에프터,After,Beer,한국,5.5%,"널 만난 후에...
맥주에 대한 기준은 After를 만나기 전과 후로 나뉜다!
오래 머물지 않는 약간의 쓴 맛이 주는 경쾌하고 짜릿한 즐거움!
다양한 열대과일의 풍미가 있는 프루티한 IPA로 붉은 빛이 매혹적인 맥주.
망고, 파인, 감귤류 등 다양한 열대 과일과 핵과류의 풍미가 살아있는 프루티함",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/busan_after_ipa.png
마 흑맥주,MA STOUT,Beer,한국,5%,"아메리칸 스타우트를 베이스로 국내산 흑미를 21% 사용한 리얼 흑맥주!
검붉고 거친듯하지만 부드럽고 고소해서 마시기 편한 쌀맥주.
초콜렛향과 커피의 풍미가 은은하게 느껴지는 국내산 흑미로 만든 고소한 우리쌀 맥주",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/busan_ma_stout.png
스윗마마,Sweet Mama,Beer,한국,5.5%,감미로운 사과의 달달함이 돋보이는 Sweet Cider,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/sweet_mama.png
댄싱파파,Dancing Papa,Beer,한국,7%,사과의 풍미와 와인스러운 피니시로 애주가들이 선호하는 Dry Cider,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/dancing_papa.png
루드베리,Rude Berry,Beer,한국,4.5%,로컬 딸기로 시작하여 상큼한 바질로 마무리되는 탄산 톡톡 스윗 사이더,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/rude_berry.png
요새로제,Yose Rose,Beer,한국,6.4%,베리의 산뜻함을 고스란히 담은 로즈빛 프리미엄 애플사이더,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/yose_rose.png
산미구엘 세르베자 블랑카,San Miguel Cerveza Blanca,Beer,필리핀,5.4%,스파이시함과 스모키 그리고 풍부한 과일향의 완벽한 조화를 가진 산미구엘 세르베자 블랑카 밀맥주는 은은하게 피어나는 시트러스 향과 민트 향의 부드러움 뿐만 아니라 진한 골드 컬러 위의 크리미한 거품은 최고의 밀맥주 맛을 선사하는 산미구엘의 선물과도 같은 프리미엄 맥주 중 하나입니ㅏㄷ.,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
라구니타스 IPA,Lagunitas IPA,Beer,미국,6.2%,"라구니타스는 1993년 미국 캘리포니아 내 작은 도시에서 출발하여, 전 세계적으로 맥덕들 사이에서 꾸준한 입소문을 타고 있습니다. 미국에서는 단연 No.1 IPA로 사랑받고 있습니다.
살균처리 하지 않은 상당 수의 DRY HOPS를 넣어 고유의 독특한 맛과 향을 살린 점은 라구니타스의 고유 제조 공법입니다. 이러한 살균처리 하지 않은 본연의 홉은 쌉쌀한 맛과 달콤함의 밸런스를 잡아 완벽한 맥주를 만드는 역할을 합니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/lagunitas_ipa.png
슈티글 시트론 라들러,Stiegl Radler Zitrone,Beer,오스트리아,2%,"상큼한 레몬의 풍취가 첫 모금에서 생생하게 전해지며, Real Lemon 쥬스가 전하는 citrus하며 상쾌한 aroma가 가벼운 스파클링의 느낌과 함께 입안 가득 퍼지면서, 라들러의 스위티한 마무리가 오래도록 상큼함을 지니고 있음",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
아리랑IPA,Aribeer Arirang IPA,Beer,한국,7.2%,"많은 맥아와 홉을 사용하여 알코올 농도가 높고 쓴맛이 강하며 오렌지 향이 매력적인 미국식 에일맥주
홉에서 비롯된 쓴맛이 강하지만 재료의 비중이 높아 보리와 홉의 향이 잘 살아남. 쓴맛이 강한 편이라 맥주 초보자들이 접하기에 다소 난이도가 있으나 맥주 마니아들은 대부분 IPA에 열광함",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/arirang_ipa.png
동강에일,Aribeer Pale Ale,Beer,한국,4.8%,다양한 몰트의 풍미와 시트러스한 홉의 풍미가 잘 어우러진 부드러운 정통 에일맥주,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/aribeer_pale_ale.png
곤드레필스너,Aribeer Pilsner,Beer,한국,4.8%,밝고 투명하며 곤드레의 풍미와 더불어청량감이 살아있는 체코식 라거맥주,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/aribeer_pilsner.png
윤바이젠,Aribeer Weizen,Beer,한국,5.5%,홉과 효모의 풍미와 부드러운 신맛이 강조된 독일식 밀맥주,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
마인스타우트,Aribeer Stout,Beer,한국,5.2%,로스팅한 맥아의 그윽한 풍미와 묵직한 바디감이 살아있는 영국식 흑맥주,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
아랏차IPA,Aribeer Aracha IPA,Beer,한국,5.2%,오렌지향과 드라이한 바디감으로 청량감이 뛰어난 IPA,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/aribeer_aracha_ipa.png
화수 바이젠,Whasoo Weizen,Beer,한국,5%,화수 브루어리의 대표적인 밀 맥주로서 헤페 바이젠 효모를 사용하여 이스트 아로마의 바나나 향과 부드러운 마우스 필을 입가에 담을 수 있는 맥주,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
화수 아메리칸라거,Whasoo American Lager,Beer,한국,5%,"로컬브루어리의 브루어의 자존심과 기본기를 바탕으로 가장 베이직한 스타일의 깔끔하고 신선한 아메리칸 라거
2019년 주류대상 크래프트 맥주 라거 부문 대상 
양조 공정 처음부터 끝까지 미국에서 생산된 신선한 몰트, 홉 그리고 효모를 사용하여 완성된 맥주입니다. 강한 탄산감으로 드라이한 피니시에 크리스피함이 두드러지며 홉의 향긋함을 느낄 수 있습니다.",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/american_lager_WRk5O5H.png
화수 쾰쉬,Whasoo Kolsch,Beer,한국,5%,"라거와 에일의 장점만을 담아 만들어낸 맥주, 라거의 깔끔한 맛과 에일의 향긋한 아로마가 느껴지며 어떤 음식과도 조화로운 맥주",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/default.png
화수 알트비어,Whasoo Alt Bier,Beer,한국,5%,캐러멜 몰트를 사용하여 몰티함을 갖추고 오랜 시간의 저온 숙성 속에서 올드한 풍미를 갖춘 화수 브루어리의 오랜 맥주,https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/alt_beer_WoLkPSB.png
화수 유자페일에일,Whasoo Yuza Pale Ale,Beer,한국,5%,"홉의 아로마와 한국적인 유자의 향의 조화가 이뤄낸 페일 에일로써 시트러스 함의 절정을 만들어 준 화수 브루어리의 ""제2의 시그니처""맥주",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/yuza_pale_ale.png
화수 불멍,Whasoo Session IPA,Beer,한국,5%,"시트라 단일 홉을 사용하여 자몽, 시트럿, 망고의 풍미를 갖춘 음용성이 좋은 세션 아이피에이
2021년 주류대상 에일 부문 대상 
Session I.P.A IPA의 쓴맛은 자제하면서 강렬한 홉향은 그대로 재현!
IPA입문자에게 추천하는 맥주",https://zuzu-resource.s3.ap-northeast-2.amazonaws.com/drinks/camp_fire_Vb5vSi1.png
